"text","retweet_count","favorite_count","is_retweet","date"
"Great to spend time with Mike Singletary while going to Texas Hes one of the greatest football players ever  A strong man and a really good person Great being with you Mike ",21258,120681,"0",2020-07-31
"Is this the Judge that put Paul Manafort in SOLITARY CONFINEMENT something that not even mobster Al Capone had to endure How did she treat Crooked Hillary Clinton Just asking ",23508,67793,"0",2020-02-12
"I dont think the Dems on the Border Committee are being allowed by their leaders to make a deal They are offering very little money for the desperately needed Border Wall amp now out of the blue want a cap on convicted violent felons to be held in detention",22663,88027,"0",2019-02-10
"So true ",13866,49552,"0",2020-05-16
"RT charliekirk11 Let me get this straightNancy Pelosi wont let Congress get back to work because of a lack of social distancingY",27147,0,"0",2020-06-04
"Senator Chuck Schumer has finally gone to the Southern Border with some Democrat Senators This is a GREAT thing Nearby he missed a large group of Illegal Immigrants trying to enter the USA illegally They wildly  rushed Border Patrol Some Agents were badly injured",21570,92370,"0",2019-07-21
"RT LizRNC AG Barr on Durham probeHe is looking to bring to justice people who were engaged in abuses if he can show that they were cr",8151,0,"0",2020-04-10
"God Bless the USA",68783,433368,"0",2020-03-16
"a dangerous journey We dont even need to be there in that the US has just become by far the largest producer of Energy anywhere in the world The US request for Iran is very simple  No Nuclear Weapons and No Further Sponsoring of Terror",22537,114454,"0",2019-06-24
"I like New York Fed President John Williams first statement much better than his second His first statement is 100 correct in that the Fed raised far too fast amp too early Also must stop with the crazy quantitative tightening We are in a World competition amp winning big",12955,67088,"0",2019-07-19
"RT hughhewitt It may be the single biggest political crime in the history of the United States realDonaldTrump says about Spygate E",6230,0,"0",2019-06-15
"We have one of three choices Send in thousands of troops and win Militarily hit Turkey very hard Financially and with Sanctions or mediate a deal between Turkey and the Kurds",16397,70216,"0",2019-10-11
"RT LouisianaGov I again want to thank realDonaldTrump and VP for supporting the people of Louisiana during this difficult time We had",6647,0,"0",2020-04-30
"Unfair ",9043,35476,"0",2020-06-04
"RT Lrihendry realDonaldTrump They are eaten alive by hate for our President amp his voters They care more about illegal immigrants than",23802,0,"0",2019-08-17
"Theres not one shred of evidence that President Trump has done anything wrong GrahamLedger One America News  So true a total Witch Hunt  All started illegally by Crooked Hillary Clinton the DNC and others",24528,100961,"0",2019-03-10
"dagenmcdowell Every Democrat is running to raise taxes She Pocahontas lied about her ethnicity that was her problem MariaBartiromo  So true Dagen",13490,58923,"0",2020-02-12
"RT VanhortonM dbongino Smoke and mirrors Biden",2170,0,"0",2019-05-01
