text,retweet_count,favorite_count,is_retweet,date,score
RT SaraCarterDC BOMBSHELL INTERVIEWYuriy Lutsenko says Yovanovitch perjured herself before Congress Shows proof to OANN,20370,0,1,2019-12-12,10.4551935
Representative John Carter JudgeJohnCarter from the Great State of Texas has been a tremendous supporter of our MAGA Agenda He is strong on Crime and Borders great for our Military and our Vets and Strong on our 2A John has my Complete and Total Endorsement,11165,44766,0,2020-01-21,9.839508
Theres not one shred of evidence that this presidents done anything Constitutionally or anything else wrong Graham Ledger  Thank you Graham so true,27307,132657,0,2019-02-23,9.635421
Consumer Confidence number very good Housing sales in September up nicely Economy Rocks,14244,64181,0,2019-10-29,9.621683
Why are the Democrats not looking into all of the crimes committed by Crooked Hillary and the phony Russia Investigation They would get back their credibility Jerry Nadler Schiff  would have a whole new future open to them Perhaps they could even run for President,19822,80370,0,2019-05-20,10.310721
RT GOPLeader This This is the impeachment that Democrats have spent the last three years working on  Hours of hearsay from handpicke,12801,0,0,2019-11-17,10.057119
RT TeamTrump President realDonaldTrump on the neverending Democrat Witch Hunts ,4412,0,0,2020-01-23,11.128365
RT TheOfficerTatum What I have seen from the last two nights isn't AmericaThese candidates are disgraceful All I saw was pandering,20561,0,0,2019-07-04,10.140581
RT cindyhydesmith Hold The Line,4375,0,0,2020-01-22,9.936461
Just met with SundarPichai President of Google who is obviously doing quite well He stated strongly that he is totally committed to the US Military not the Chinese Military,16949,90496,0,2019-03-28,10.91296
RT WhiteHouse We are building the greatest medical arsenal in history ,9118,0,0,2020-07-29,10.934254
Here we go with Mitt Romney but so fast Question will be is he a Flake  I hope not Would much prefer that Mitt focus on Border Security and so many other things where he can be helpful I won big and he didnt He should be happy for all Republicans Be a TEAM player amp WIN,36818,175756,0,2019-01-02,9.765722
The food is GREAT at Sammys Mexican Grill in Phoenix Arizona Congratulations to Betty amp Jorge Rivas on doing such a wonderful job I will try hard to stop by the next time I am in Phoenix Support Sammys foxandfriends,31629,127959,0,2020-03-01,9.977248
They will never do it ,11703,40910,0,2019-12-12,10.115807
Today I officially updated my budget to include 18 million for our GREAT SpecialOlympics whose athletes inspire us and make our Nation so PROUD,15676,79133,0,2019-05-14,9.491747
RT DailyCaller Rose McGowan Accuses Bill Maher Of Sexual Harassment ,8762,0,0,2020-05-12,10.620871
RT WhiteHouse Congress has an opportunity to replace NAFTA with a deal that protects American workersand would boost the fortunes of Am,7090,0,0,2019-09-07,10.866556
RT smalltownandrew Wow This video is one of the most patriotic videos I have ever seen Gives me chills to see our amazing POTUS and F,17810,0,0,2020-05-10,10.19608
RT RedState DOJ Responds to Andrew McCabe's Lawsuit and It's an Absolute Beatdown ,4621,0,0,2020-01-25,10.027541
The reality is that this was a plot from the very beginning to frame Trump RudyGiuliani ,17348,58499,0,2019-07-10,10.575281
There is NO WAY ZERO that MailIn Ballots will be anything less than substantially fraudulent Mail boxes will be robbed ballots will be forged amp even illegally printed out amp fraudulently signed The Governor of California is sending Ballots to millions of people anyone,38549,131766,0,2020-05-26,9.398685
Ive been waiting all weekend Democrats must get to work now Border must be secured,22202,106458,0,2019-01-14,9.435628
The Economy is the BEST IT HAS EVER BEEN Even much of the Fake News is giving me credit for that,20805,104414,0,2019-07-02,9.988474
Despite the unnecessary and destructive actions taken by the Fed the Economy is looking very strong the China and USMCA deals are moving along nicely there is little or no Inflation and USA optimism is very high,17353,76260,0,2019-04-04,9.558674
RT SenatorWicker The Paycheck Protection Program has been a core element of our federal response to the coronavirus outbreak The legisl,1384,0,0,2020-06-05,10.591725
FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq GOD BLESS THE USA ,50441,222873,0,2018-12-27,10.480855
children from parents as did Bush etc because that is the policy and law I tried to keep them together but the problem is when you do that vast numbers of additional people storm the Border So with Obama seperation is fine but with Trump its not Fake 60 Minutes,28221,114356,0,2018-11-25,10.372564
RT RepAndyBiggsAZ COMING UP I'm joining SandraSmithFox on AmericaNewsroom to discuss tonight's vote on my motion to condemn and censur,3872,0,0,2019-10-22,10.010659
RT realDonaldTrump ,12618,0,0,2020-05-16,11.0756445
Sad when you think about it but Mexico right now is doing more for the United States at the Border than the Democrats in Congress foxandfriends,19140,74940,0,2019-06-11,9.591743
RT XfinityRacing You didn't think we were getting through this without the Big One right DAYTONA500 ,4112,0,0,2020-02-18,10.027091
We love Australia ,25020,177133,0,2020-01-07,10.289531
Frances Hakes former Federal prosecutor This is really significant The FBI had debunked the Steele Dossier in January of 2017 and then even after they did that even after they knew from the CIA amp from their own sources they knew that Carter Page was not the agent of,15239,55443,0,2020-01-24,10.64565
Great working with you Maria ,8165,38403,0,2020-01-23,10.938578
The Governor of North Carolina RoyCooperNC made it absolutely IMPOSSIBLE for the Republican Party to have its Convention there  and we all love the State Millions of Dollars amp JOBS lost by State VOTE FOR danforrest,2133,6427,0,2020-07-03,9.533637
RT SenJohnBarrasso Since realDonaldTrump took office weve added 7 million new jobs consumer confidence amp the stock market are at all,6553,0,0,2020-01-25,10.140764
7 The badly flawed Paris Climate Agreement protects the polluters hurts Americans and cost a fortune NOT ON MY WATCH8 I want crystal clean water and the cleanest and the purest air on the planet  weve now got that,12261,51369,0,2019-09-05,11.043496
RT pittmangeorge Tucker Carlson Calls On Adam Schiff To Resign Over Russiagate Hoax VIDEO via gatewaypundit,5725,0,0,2020-05-10,9.772362
RT VFL2013 OH NO JOE THIS AINT HAPPINESS IN YOUR HOME STATE OF DELAWARE IS ITTHIS IS AMERICA,10483,0,0,2020-08-16,10.459204
RT WhiteHouse The Flores agreement is a catch22creating an enormous incentive for adult migrants to bring kids along even if the jour,6042,0,0,2019-08-24,10.495861
RT TomFitton Speaking of the Logan Act,6888,0,0,2020-02-19,10.396581
RT LindseyGrahamSC Very proud of President realDonaldTrump acting decisively in the face of threats to our embassy in Baghdad He has,19873,0,0,2020-01-01,10.406919
