text,created_at,retweet_count,favorite_count,is_retweet
Lyin’ Brian Williams of MSDNC! https://t.co/3gtkdmoZjJ,4/30/2020 4:41,20161,61282,FALSE
I must admit that Lyin’ Brian Williams is while dumber than hell quite a bit smarter than Fake News @CNN “anchorman” Don Lemon the “dumbest man on television”. Then you have Psycho Joe “What Ever Happened To Your Girlfriend?” Scarborough another of the low I.Q. individuals!,4/30/2020 4:23,35790,148961,FALSE
Lyin’ Brian Williams of MSDNC a Concast Scam Company wouldn’t know the truth if it was nailed to his wooden forehead. Remember when he lied about his bravery in a helicopter? Totally made up story. He’s a true dummy who was thrown off Network News like a dog. Stay tuned!,4/30/2020 4:09,24941,110274,FALSE
Just told that Fake News @CNN is falsely reporting that I was recently shouting at my campaign manager over made up nonsense. Actually he is doing a great job I never shouted at him (been with me for years including the 2016 win) &amp; have no intention to do so. Just FAKE NEWS!,4/30/2020 4:01,26988,119131,FALSE
.@CNN doesn’t want to speak about their persecution of General Michael Flynn &amp; why they got the story so wrong. They along with others should pay a big price for what they have purposely done to this man &amp; his family. They won’t even cover the big breaking news about this scam!,4/30/2020 3:52,43003,147321,FALSE
https://t.co/xCzgk5yoUK,4/30/2020 3:11,16121,53994,FALSE
RT @GenFlynn: https://t.co/Q833u4Is8h,4/30/2020 0:54,64889,0,TRUE
RT @realDonaldTrump: https://t.co/FH26OaIh2b,4/30/2020 0:53,20309,0,TRUE
RT @realDonaldTrump: https://t.co/efAolmZvuW,4/30/2020 0:53,19852,0,TRUE
Happy Birthday to three time Olympian and five term Congressman @JimRyun!,4/30/2020 0:52,7739,48702,FALSE
RT @GenFlynn: https://t.co/Q833u4Is8h,4/30/2020 0:38,64284,0,TRUE
https://t.co/FH26OaIh2b,4/30/2020 0:36,27486,82666,FALSE
https://t.co/efAolmZvuW,4/30/2020 0:34,29222,82066,FALSE
RT @WhiteHouse: LIVE: POTUS holds a roundtable with industry executives https://t.co/X6DquRgsl3,4/29/2020 20:19,8434,0,TRUE
RT @WhiteHouse: Our nation has ample supply of food—and President @realDonaldTrump is clearing the bottleneck and ensuring that our farmers…,4/29/2020 20:17,12390,0,TRUE
RT @LouisianaGov: Brighter days are ahead for Louisiana and by working together with our federal officials I know we will get through this…,4/29/2020 20:16,5323,0,TRUE
RT @LouisianaGov: I again want to thank @realDonaldTrump and @VP for supporting the people of Louisiana during this difficult time. We had…,4/29/2020 20:16,6647,0,TRUE
"RT @MeatInstitute: ""We are grateful to @realDonaldTrump for protecting our nation’s food supply"" said @MeatInstitute Pres. &amp; CEO Julie Ann…",4/29/2020 18:03,7324,0,TRUE
No I think Amash would make a wonderful candidate especially since he is way behind in his district and has no chance of maintaining his Congressional seat. He almost always votes for the Do Nothing Dems anyway. I like him even more than Jill Stein! https://t.co/V8kutnfvIj,4/29/2020 14:55,14918,61681,FALSE
THANK YOU @MarkLevinShow! https://t.co/GJSNM0LUQH,4/29/2020 14:42,22235,69405,FALSE
RT @TrumpWarRoom: Yahoo reporter apologizes to President Trump after making false coronavirus test claim in Oval Office meeting https://t.…,4/29/2020 13:13,10360,0,TRUE
At least they admit it. The Failing @nytimes &amp; @washingtonpost never correct their Fake Reporting! https://t.co/3aUKA4826K,4/29/2020 13:09,22881,73818,FALSE
RT @ErinMPerrine: 🚨🚨 TUNE IN NOW 🚨🚨Tonight’s @TeamTrump Online! has two of the best —&gt; @LaraLeaTrump &amp; @kevinomccarthy talking about Slee…,4/29/2020 13:02,4408,0,TRUE
RT @TeamTrump: WATCH: Team Trump Online with @LaraLeaTrump and House GOP Leader @KevinMcCarthy! #TeamTrumpText TRUMP to 88022 https://t.c…,4/29/2020 13:02,4297,0,TRUE
RT @TeamTrump: Tisa Clark CEO Of J.D. Clark Professional Services credits the #PaycheckProtectionProgram for allowing her to keep her wor…,4/29/2020 13:02,4795,0,TRUE
RT @EquipoTrump: As Trump campaign senior advisor @mercedesschlapp said today Joe Biden's plan to ease sanctions on the Cuban and Venezuel…,4/29/2020 13:01,6926,0,TRUE
