text,retweet_count,favorite_count,is_retweet,date,score
We the people will now be subjected to the biggest display of modern day McCathyismwhich is the widest fishing net expeditionevery aspect of the presidents lifeall in order to get power back so they can institute Socialism seanhannity,2534,8019,0,2019-03-05,433.62849934235726
Congratulations to Brian Hagedorn on his big surprise win over a well funded Liberal Democrat in the Great State of Wisconsin for a very important Supreme Court seat Republicans are producing big for Wisconsin,13158,60209,0,2019-04-05,357.44205440043845
RT SenThomTillis Ive been receiving regular briefings from DeptofDefense about their COVID19 response Secretary Esper the Pentagon,1776,0,0,2020-06-05,267.4230452214884
of which was squandered away or wasted never to be seen again This is more than twice the amount given to Texas amp Florida combined I know the people of Puerto Rico well and they are great But much of their leadership is corrupt amp robbing the US Government blind,23344,107414,0,2019-07-18,506.10939325317065
RT realDonaldTrump Mini Mike dont lick your dirty fingers Both unsanitary and dangerous to others and yourself ,37749,0,0,2020-03-04,241.44710974389545
RT TeamTrump In 2016 President realDonaldTrump asked African Americans What do you have to loseIn 2020 it is now imagine all th,8777,0,1,2019-11-22,275.8695877448405
RT MikePence As a result of President realDonaldTrumps leadership every state lab in the Country can now conduct Coronavirus testing,11028,0,0,2020-03-07,241.75973572511796
Will be doing a Town Hall on FoxNews at 1205 PM Now I will go on around 100 PM Enjoy,14516,77484,0,2020-03-24,222.89158382584628
the Fake News Media into not covering them but that effort failed because the ratings are through the roof according to of all sources the Failing New York Times Monday Night Football Bachelor Finale type numbers amp sadly they get it FREE Trump Derangement Syndrome,15784,72756,0,2020-04-08,405.18364370503457
RT GOPChairwoman Great reminder from realDonaldTrump Every American has a role to play in defending our nation Stay at home and sav,5586,0,0,2020-03-22,288.94574523998665
Good day in the Stock Market People have no idea the tremendous potential our Country has for GROWTH  and many other things,14797,71559,0,2019-06-11,218.93796966966082
This will never get old ,26431,115895,0,2020-02-09,64.6309520124234
RT MikePence ,10630,0,0,2020-08-29,46.10295382770104
While I like the Vaping alternative to Cigarettes we need to make sure this alternative is SAFE for ALL Lets get counterfeits off the market and keep young children from Vaping,24382,135817,0,2019-09-14,317.2425188423313
Steve Moore a great progrowth economist and a truly fine person has decided to withdraw from the Fed process Steve won the battle of ideas including Tax Cuts,13817,72575,0,2019-05-02,276.19028032779534
RT LSUfootball The National Champions ,12981,0,0,2020-01-18,78.89730859430213
Thank you MarkLevinShow MAGA ,23333,72685,0,2019-04-22,78.52630611225521
Very poor morning TV ratings for MSDNCs Morning Joe headed by a complete Psycho named Joe Scarborough and his ditzy airhead wife Mika and also CNN headed by complete unknowns Congratulations to foxandfriends on dominating the mornings thank you President Trump,24293,115652,0,2020-08-13,467.2309079299538
RT realDonaldTrump It is amazing that I became President of the United States with such a totally corrupt and dishonest Lamestream Media,62927,0,0,2020-04-23,276.5861077819999
